;A;CA;CV;DD;DP;FC;FD;FF;FS;FT;G;GC;GS;I;PE;PP;RB;SG;atletas_scout;apelido;atleta_id;clubename;clube_id;jogos_num;media_num;nome;pontos_num;posicao_id;preco_num;Rodada;status_id;variacao_num
15983;;;;;;;;;;;;;;;;;;;;Flavio;91102;Vitoria;VIT;1;0.0;Flavio Medeiros da Silva;0.0;mei;2.12;19;Nulo;0.0
15984;;;;;;;;;;;;;;;;;;;;Matheus Peixoto;87098;Bahia;BAH;0;0.0;Matheus Vieira Campos Peixoto;0.0;ata;1.0;19;Nulo;0.0
15985;;;;5.0;;;;;1.0;;;;7.0;;2.0;;;2.0;;Leo;87008;Gremio;GRE;5;2.18;Leonardo Cesar Jardim;0.0;gol;4.77;19;Nulo;0.0
15986;;;;;;3.0;1.0;1.0;3.0;1.0;;;;;7.0;;1.0;2.0;;Zeca;87192;Santos;SAN;4;3.7;Jose Carlos Cracco Neto;8.5;lat;10.96;19;Provavel;1.16
15987;;;;;;;;;;;;;;;;;;;;Dayvid;99254;Sport;SPO;0;0.0;Dayvid Alexsander da Silva;0.0;lat;1.0;19;Nulo;0.0
15988;;;;;;;;;;;;;;;;;;;;Pedro Henryque;99255;Sport;SPO;0;0.0;Pedro Henryque Pereira dos Santos;0.0;zag;2.0;19;Nulo;0.0
15989;;;;;;;;;;;;;;;;;;;;Joao Erick;99257;Sport;SPO;0;0.0;Joao Erick Marques da Silva;0.0;mei;2.0;19;Nulo;0.0
15990;2.0;3.0;;;;12.0;2.0;2.0;23.0;;2.0;;;4.0;58.0;;9.0;13.0;;Guilherme Arana;87228;Corinthians;COR;18;4.99;Guilherme Antonio Arana Lopes;9.5;lat;11.24;19;Nulo;0.97
15991;;;;;;;;;;;;;;;;;;;;Alesandro;99256;Sport;SPO;0;0.0;Alesandro dos Santos Pereira;0.0;zag;1.0;19;Nulo;0.0
15992;;;;;;2.0;;;;;;;;;2.0;;;2.0;;Rodrigao;87398;Atletico-MG;ATL;3;2.8;Rodrigo de Souza Prado;0.0;zag;2.97;19;Nulo;0.0
